Country,gross_revenue,orders,units_sold,unique_customers,return_value,net_revenue,average_order_value,revenue_per_customer
United Kingdom,16982530.79,36162,9274695,5334,-631606.86,16350923.93,469.62365991925225,3183.826544806899
EIRE,618850.75,581,336647,3,-20233.1,598617.65,1065.1475903614457,206283.58333333334
Netherlands,547882.96,216,383086,22,-3677.98,544204.98,2536.495185185185,24903.77090909091
Germany,382453.24,752,223590,107,-8835.38,373617.86,508.5814361702127,3574.3293457943923
France,311893.53,598,272142,93,-17635.24,294258.29000000004,521.5610869565218,3353.6938709677424
Australia,166052.56,89,103402,15,-1512.91,164539.65,1865.7591011235954,11070.170666666667
Spain,98248.76,144,50272,38,-12955.19,85293.56999999999,682.2830555555555,2585.493684210526
Switzerland,93740.03,85,52516,22,-1106.53,92633.5,1102.8238823529412,4260.910454545455
Sweden,84885.44,99,88089,19,-1973.97,82911.47,857.4286868686869,4467.654736842105
Denmark,68466.59,42,237804,12,-4067.0999999999995,64399.49,1630.1569047619046,5705.549166666667
Belgium,56429.37,143,34565,29,-394.28,56035.090000000004,394.610979020979,1945.8403448275863
Portugal,48461.590000000004,85,28096,23,-624.33,47837.26,570.1363529411765,2107.0256521739134
Japan,46526.39,33,33183,10,-3277.14,43249.25,1409.890606060606,4652.639
Channel Islands,44160.66,54,21420,13,-2184.27,41976.39000000001,817.7900000000001,3396.9738461538464
Norway,41598.17,39,26957,12,-149.83,41448.34,1066.6197435897436,3466.5141666666664
Italy,28860.08,59,15211,17,-697.85,28162.230000000003,489.1538983050848,1697.6517647058824
Finland,24873.41,54,14038,13,-64.16,24809.25,460.6187037037037,1913.3392307692307
Cyprus,24469.41,35,10943,11,-496.7,23972.71,699.126,2224.491818181818
Austria,19662.21,40,11377,13,-225.41,19436.8,491.55525,1512.4776923076922
Greece,18313.09,18,7598,5,-50.7,18262.39,1017.3938888888889,3662.618
Hong Kong,13547.65,9,6990,0,-10.95,13536.699999999999,1505.2944444444445,
Singapore,13158.16,8,6987,1,0.0,13158.16,1644.77,13158.16
Israel,11309.01,10,5534,4,-227.44,11081.57,1130.901,2827.2525
Unspecified,10896.56,24,6717,6,-22.0,10874.56,454.0233333333333,1816.0933333333332
United Arab Emirates,10273.23,12,7316,4,-645.08,9628.15,856.1025,2568.3075
Poland,10186.39,28,5735,6,-374.36,9812.029999999999,363.7996428571428,1697.7316666666666
USA,7858.81,16,5235,8,-2080.32,5778.49,491.175625,982.35125
Lithuania,6076.89,6,2823,1,0.0,6076.89,1012.815,6076.89
Iceland,5633.32,8,3286,1,0.0,5633.32,704.165,5633.32
Malta,4542.94,7,2427,2,-90.12,4452.82,648.9914285714285,2271.47
Canada,3731.16,6,3126,4,0.0,3731.16,621.86,932.79
RSA,3369.03,3,1969,2,0.0,3369.03,1123.01,1684.515
Thailand,3027.19,2,2539,1,0.0,3027.19,1513.595,3027.19
Bahrain,2967.29,10,1317,2,-248.24,2719.05,296.729,1483.645
Lebanon,1892.98,2,452,1,0.0,1892.98,946.49,1892.98
Brazil,1394.02,2,542,2,0.0,1394.02,697.01,697.01
Bermuda,1253.1399999999999,1,2798,0,0.0,1253.1399999999999,1253.1399999999999,
European Community,1139.45,3,486,1,-8.5,1130.95,379.81666666666666,1139.45
Korea,1118.51,2,700,2,-168.69000000000003,949.8199999999999,559.255,559.255
Czech Republic,786.74,2,670,1,-115.02,671.72,393.37,786.74
West Indies,536.41,1,395,1,0.0,536.41,536.41,536.41
Saudi Arabia,145.92,1,80,1,-14.75,131.17,145.92,145.92
Nigeria,112.57000000000001,1,102,1,-147.05,-34.480000000000004,112.57000000000001,112.57000000000001
