customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Cluster
12346.0,325,3,77347.01000000001,2,3,5,235,10,1
12347.0,2,8,5633.32,5,4,5,545,14,2
12348.0,75,5,1658.4,3,4,4,344,11,1
12349.0,18,3,3678.69,5,3,5,535,13,0
12350.0,310,1,294.4,2,1,2,212,5,3
12351.0,375,1,270.33,2,1,1,211,4,3
12352.0,36,9,1709.74,4,5,4,454,13,1
12353.0,204,2,406.76,2,2,2,222,6,3
12354.0,232,1,1079.4,2,1,3,213,6,3
12355.0,214,2,947.61,2,2,3,223,7,1
12356.0,22,6,5611.73,4,4,5,445,13,2
12357.0,33,2,17267.71,4,2,5,425,11,1
12358.0,1,5,2864.4700000000003,5,4,4,544,13,2
12359.0,57,10,8858.54,4,5,5,455,14,2
12360.0,52,6,3612.89,4,4,5,445,13,1
12361.0,287,4,451.25,2,3,2,232,7,1
12362.0,3,10,4648.58,5,5,5,555,15,2
12363.0,109,2,552.0,3,2,2,322,7,3
12364.0,7,4,1208.1,5,3,3,533,11,0
12365.0,291,1,320.69,2,1,2,212,5,3
12366.0,633,1,500.24,1,1,2,112,4,3
12367.0,4,1,150.9,5,1,1,511,7,0
12368.0,628,1,917.7,1,1,3,113,5,3
12369.0,413,3,1511.15,1,3,4,134,8,1
12370.0,51,7,3936.76,4,4,5,445,13,1
12371.0,59,4,3347.38,3,3,5,335,11,1
12372.0,71,3,1196.04,3,3,3,333,9,1
12373.0,311,3,915.05,2,3,3,233,8,1
12374.0,25,3,2669.22,4,3,4,434,11,0
12375.0,10,2,377.5,5,2,2,522,9,0
12376.0,389,2,383.15,2,2,2,222,6,3
12377.0,315,4,3082.7200000000003,2,3,5,235,10,1
12378.0,129,2,5401.02,3,2,5,325,10,1
12379.0,81,4,1404.52,3,3,4,334,10,1
12380.0,21,8,7171.05,4,4,5,445,13,2
12381.0,4,3,1416.31,5,3,4,534,12,0
12383.0,184,5,1628.56,3,4,4,344,11,1
12384.0,28,2,407.42,4,2,2,422,8,0
12385.0,379,1,1603.6,2,1,4,214,7,3
12386.0,337,2,660.8,2,2,3,223,7,3
12387.0,415,1,143.94,1,1,1,111,3,3
12388.0,15,8,3861.51,5,4,5,545,14,2
12389.0,402,3,1433.33,2,3,4,234,9,1
12390.0,79,1,504.84,3,1,2,312,6,3
12391.0,21,6,2724.84,4,4,4,444,12,2
12392.0,591,1,234.75000000000003,1,1,1,111,3,3
12393.0,72,6,2399.4500000000003,3,4,4,344,11,1
12394.0,63,2,1080.48,3,2,3,323,8,0
12395.0,19,15,4551.27,5,5,5,555,15,2
12396.0,674,1,931.43,1,1,3,113,5,3
12397.0,35,2,2175.3,4,2,4,424,10,0
12398.0,45,1,1415.86,4,1,4,414,9,0
12399.0,119,7,1842.3,3,4,4,344,11,1
12400.0,414,1,205.25,1,1,1,111,3,3
12401.0,303,1,51.45,2,1,1,211,4,3
12402.0,323,6,1136.9,2,4,3,243,9,1
12403.0,49,2,947.36,4,2,3,423,9,0
12405.0,148,1,1360.63,3,1,4,314,8,1
12406.0,22,5,6390.36,4,4,5,445,13,2
12407.0,49,5,1507.12,4,4,4,444,12,1
12408.0,32,8,3859.87,4,4,5,445,13,2
12409.0,78,7,23419.29,3,4,5,345,12,2
12410.0,308,3,773.71,2,3,3,233,8,1
12411.0,409,1,346.9,1,1,2,112,4,3
12412.0,74,6,2404.93,3,4,4,344,11,1
12413.0,66,4,851.65,3,3,3,333,9,1
12414.0,217,4,532.41,2,3,2,232,7,1
12415.0,24,24,141726.22,4,5,5,455,14,2
12416.0,656,1,202.56,1,1,1,111,3,3
12417.0,3,20,5948.01,5,5,5,555,15,2
12418.0,112,4,2005.9,3,3,4,334,10,1
12419.0,385,2,391.01,2,2,2,222,6,3
12420.0,63,1,600.39,3,1,2,312,6,0
12421.0,15,6,874.6,5,4,3,543,12,0
12422.0,95,12,3629.39,3,5,5,355,13,1
