year_month,gross_revenue,return_value,net_revenue,return_value_abs,orders,units,unique_customers,average_order_value,net_revenue_growth_pct
2009-12,779111.7600000001,-19388.33,759723.4300000002,19388.33,1661,419892,950,469.06186634557497,
2010-01,589150.32,-7313.83,581836.49,7313.83,1049,385350,701,561.630428979981,-23.4146971089203
2010-02,526460.3099999999,-12450.189999999999,514010.11999999994,12450.189999999999,1188,378572,771,443.1484090909091,-11.657290521603425
2010-03,752365.03,-9411.279999999999,742953.75,9411.279999999999,1647,522362,1051,456.80936854887676,44.54068530790796
2010-04,638374.0299999999,-9774.11,628599.9199999999,9774.11,1435,363558,939,444.8599512195122,-15.391783135895077
2010-05,639306.47,-34998.54,604307.9299999999,34998.54,1483,393986,964,431.09,-3.864459607312709
2010-06,689709.54,-25175.01,664534.53,25175.01,1612,403475,1034,427.8595161290323,9.966210438443213
2010-07,625057.99,-16987.58,608070.41,16987.58,1506,334267,923,415.04514608233734,-8.49679248420695
2010-08,667875.82,-12223.5,655652.32,12223.5,1400,469968,910,477.0541571428571,7.825065850515545
2010-09,863345.27,-27643.07,835702.2000000001,27643.07,1788,581432,1136,482.8552964205817,27.461182475492517
2010-10,1085761.89,-25400.22,1060361.67,25400.22,2241,616776,1492,484.4988353413654,26.88271850905739
2010-11,1422762.83,-34741.83,1388021.0,34741.83,2718,722196,1606,523.4594665194996,30.90071428176011
2010-12,1174625.5300000003,-24327.46,1150298.0700000003,24327.46,1548,534724,882,758.8020219638244,-17.126753125493032
2011-01,662736.67,-91321.86,571414.81,91321.86,1080,383801,739,613.6450648148149,-50.324631075839335
2011-02,501307.28,-8305.019999999999,493002.26,8305.019999999999,1093,280271,757,458.6525892040256,-13.722526722749805
2011-03,681257.96,-10268.619999999999,670989.34,10268.619999999999,1439,371476,973,473.4245726198749,36.102690482595335
2011-04,507872.88,-33185.46,474687.42,33185.46,1233,303154,852,411.9001459854015,-29.255594433139574
2011-05,732181.0700000001,-8908.98,723272.0900000001,8908.98,1666,390840,1053,439.4844357743097,52.36807623846449
2011-06,729052.2899999999,-13585.210000000003,715467.08,13585.210000000003,1525,385599,990,478.0670754098361,-1.0791250081280124
2011-07,679286.42,-10662.66,668623.76,10662.66,1452,396690,946,467.82811294765844,-6.547236247403577
2011-08,715985.3600000001,-22841.82,693143.5400000002,22841.82,1339,418644,933,534.7164749813294,3.6672014168327216
2011-09,1012424.98,-16953.489999999998,995471.49,16953.489999999998,1818,564973,1259,556.8894279427942,43.61693250434098
2011-10,1094802.17,-41232.93000000001,1053569.24,41232.93000000001,2004,617355,1360,546.3084680638722,5.836204309577964
2011-11,1440788.5300000003,-24777.539999999997,1416010.9900000002,24777.539999999997,2751,742552,1660,523.7326535805162,34.40132230891633
2011-12,611713.9999999999,-174042.91,437671.08999999985,174042.91,816,311944,614,749.6495098039215,-69.09126460946466
