StockCode,canonical_description,total_units_sold,gross_revenue,number_of_orders,number_of_customers,return_value,net_revenue
10002,INFLATABLE POLITICAL GLOBE ,8831.0,7093.65,362.0,164.0,-883.5500000000001,6210.099999999999
10002R,ROBOT PENCIL SHARPNER,4.0,20.57,3.0,0.0,0.0,20.57
10080,GROOVY CACTUS INFLATABLE,315.0,129.29,27.0,23.0,0.0,129.29
10109,BENDY COLOUR PENCILS,4.0,1.68,1.0,1.0,0.0,1.68
10120,DOGGY RUBBER,679.0,145.89,73.0,52.0,-6.3,139.58999999999997
10123C,HEARTS WRAPPING TAPE ,651.0,255.06,63.0,39.0,-12.540000000000001,242.52
10123G,ARMY CAMO WRAPPING TAPE,2251.0,165.55999999999997,16.0,12.0,-66.24,99.31999999999998
10124A,SPOTS ON RED BOOKCOVER TAPE,62.0,26.04,18.0,18.0,0.0,26.04
10124G,ARMY CAMO BOOKCOVER TAPE,38.0,16.38,10.0,9.0,0.0,16.38
10125,MINI FUNKY DESIGN TAPES,2148.0,1755.65,167.0,87.0,0.0,1755.65
10133,COLOURING PENCILS BROWN TUBE,3871.0,2402.97,289.0,153.0,-12.7,2390.27
10134,COLOURING PENCILS BROWN TUBE,625.0,721.13,52.0,44.0,-12.5,708.63
10135,COLOURING PENCILS BROWN TUBE,4271.0,4640.1,324.0,178.0,-13.75,4626.35
10138,ASSORTED COLOUR JUMBO PEN,261.0,111.22,21.0,14.0,-81.9,29.319999999999993
11001,ASSTD DESIGN RACING CAR PEN,4882.0,7504.9,251.0,118.0,-1095.08,6409.82
15030,FAN BLACK FRAME ,254.0,73.66,26.0,23.0,0.0,73.66
15034,PAPER POCKET TRAVELING FAN ,10182.0,1422.45,255.0,123.0,-116.06000000000002,1306.39
15036,ASSORTED COLOURS SILK FAN,44365.0,33041.55,991.0,303.0,-644.03,32397.520000000004
15039,SANDALWOOD FAN,5117.0,4360.03,306.0,127.0,-22.95,4337.08
15044A,PINK PAPER PARASOL ,4964.0,13210.85,250.0,116.0,-8.05,13202.800000000001
15044B,BLUE PAPER PARASOL ,1673.0,4655.94,189.0,97.0,-2.95,4652.99
15044C,PURPLE PAPER PARASOL,970.0,3042.03,231.0,100.0,-13.95,3028.0800000000004
15044D,RED PAPER PARASOL,1597.0,4565.56,227.0,105.0,-26.150000000000002,4539.410000000001
15056N,EDWARDIAN PARASOL NATURAL,11366.0,58403.79,1033.0,347.0,-840.55,57563.24
15056P,EDWARDIAN PARASOL PINK,2526.0,12479.470000000001,344.0,186.0,-1091.05,11388.420000000002
15056n,EDWARDIAN PARASOL NATURAL,180.0,2259.44,116.0,0.0,0.0,2259.44
15056p,EDWARDIAN PARASOL PINK,50.0,628.72,38.0,0.0,0.0,628.72
15058A,BLUE POLKADOT GARDEN PARASOL,476.0,3153.73,148.0,76.0,-120.75,3032.98
15058B,PINK POLKADOT GARDEN PARASOL,438.0,3327.67,156.0,65.0,-69.15,3258.52
15058C,ICE CREAM DESIGN GARDEN PARASOL,470.0,2753.72,122.0,56.0,-23.8,2729.9199999999996
15059A,ENGLISH ROSE EDWARDIAN PARASOL,509.0,1567.0,4.0,1.0,0.0,1567.0
15060B,FAIRY CAKE DESIGN UMBRELLA,1437.0,6554.83,449.0,174.0,-42.22,6512.61
15060b,FAIRY CAKE DESIGN UMBRELLA,5.0,41.81,5.0,0.0,0.0,41.81
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3143.0,423.46,85.0,64.0,0.0,423.46
16010,FOLDING CAMPING SCISSOR W/KNIF & S,44.0,5.279999999999999,4.0,4.0,0.0,5.279999999999999
16011,ANIMAL STICKERS,3858.0,808.98,112.0,83.0,-5.04,803.94
16012,FOOD/DRINK SPONGE STICKERS,2925.0,613.05,83.0,67.0,0.0,613.05
16014,SMALL CHINESE STYLE SCISSOR,30370.0,9839.4,93.0,46.0,0.0,9839.4
16015,MEDIUM CHINESE STYLE SCISSOR,1573.0,711.88,65.0,40.0,0.0,711.88
16016,LARGE CHINESE STYLE SCISSOR,2338.0,1891.1,106.0,57.0,0.0,1891.1
16020C,CLEAR STATIONERY BOX SET ,160.0,134.5,39.0,22.0,0.0,134.5
16033,MINI HIGHLIGHTER PENS,15121.0,1544.52,50.0,43.0,-57.599999999999994,1486.92
16043,POP ART PUSH DOWN RUBBER ,2145.0,180.29999999999998,13.0,11.0,-67.67999999999999,112.61999999999999
16044,POP-ART FLUORESCENT PENS,6193.0,389.22,3.0,2.0,0.0,389.22
16045,POPART WOODEN PENCILS ASST,9312.0,429.44,74.0,65.0,0.0,429.44
16046,TEATIME PEN CASE & PENS,10057.0,1224.35,59.0,44.0,-389.03999999999996,835.31
16047,POP ART PEN CASE & PENS,10612.0,1054.7,31.0,21.0,-414.72,639.98
16048,TEATIME ROUND PENCIL SHARPENER ,3461.0,537.06,105.0,59.0,0.0,537.06
16049,TEATIME GEL PENS ASST,3169.0,560.48,32.0,22.0,0.0,560.48
16050,TEATIME PENCIL WITH RUBBER,151.0,46.45,8.0,4.0,0.0,46.45
16051,TEATIME PENCIL W STAMP ASST,941.0,84.69,4.0,3.0,0.0,84.69
16052,TEATIME PUSH DOWN RUBBER,850.0,283.0,35.0,18.0,-10.08,272.92
16053,POPART COL BALLPOINT PEN ASST,4313.0,185.73,10.0,8.0,-60.0,125.72999999999999
16054,POPART RECT PENCIL SHARPENER ASST,1210.0,159.0,39.0,32.0,-12.959999999999999,146.04
16119,FUNKY GIRL ADDRESS BOOK,273.0,130.71,8.0,7.0,0.0,130.71
16151A,FLOWERS HANDBAG blue and orange,52.0,72.5,5.0,5.0,0.0,72.5
16156L,"WRAP, CAROUSEL",950.0,399.0,36.0,33.0,0.0,399.0
16156N,"WRAP, FRIENDSHIP ON GREEN",1475.0,619.5,56.0,51.0,0.0,619.5
16156S,WRAP PINK FAIRY CAKES ,16761.0,6600.62,419.0,271.0,-61.32,6539.3
16161C,WRAP SPEED DEMONS ,450.0,45.0,2.0,2.0,0.0,45.0
16161E,WRAP BOUDOIR ,750.0,75.0,9.0,8.0,0.0,75.0
16161G,WRAP BAD HAIR DAY,975.0,97.5,33.0,31.0,0.0,97.5
16161M,WRAP  PINK FLOCK,1075.0,449.5,39.0,36.0,-10.5,439.0
16161P,WRAP ENGLISH ROSE ,13223.0,5445.9,440.0,289.0,-10.5,5435.4
16161U,WRAP SUKI AND FRIENDS,10076.0,4105.92,318.0,203.0,-31.5,4074.42
16162L,THE KING GIFT BAG,8101.0,570.4300000000001,30.0,16.0,-187.20000000000002,383.23
16162M,THE KING GIFT BAG 25x24x12cm,88.0,36.96,13.0,10.0,0.0,36.96
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1713.0,525.01,101.0,42.0,0.0,525.01
16168S,FUNKY MONKEY GIFT BAG SMALL,1283.0,126.82999999999998,11.0,4.0,0.0,126.82999999999998
16169A,WRAP CHRISTMAS DECOUPAGE,25.0,10.5,1.0,1.0,0.0,10.5
16169C,WRAP BLUE REINDEER,1350.0,567.0,43.0,42.0,0.0,567.0
16169D,WRAP WINTER FOREST,250.0,105.0,9.0,9.0,0.0,105.0
16169E,WRAP 50'S  CHRISTMAS,4563.0,1892.46,149.0,143.0,-52.5,1839.96
16169F,WRAP BLIZZARD,975.0,409.5,34.0,34.0,0.0,409.5
16169G,WRAP ROMANTIC DECOUPAGE,25.0,10.5,1.0,1.0,0.0,10.5
16169K,WRAP FOLK ART,2100.0,669.25,60.0,56.0,0.0,669.25
16169M,WRAP DAISY CARPET ,2060.0,640.95,59.0,56.0,0.0,640.95
16169N,WRAP BLUE RUSSIAN FOLKART,2050.0,636.75,56.0,52.0,0.0,636.75
16169P,WRAP GREEN RUSSIAN FOLKART ,1750.0,533.75,48.0,46.0,-10.5,523.25
16192,PINK BALLET OPENING CUBE BOX ,3.0,12.899999999999999,1.0,0.0,0.0,12.899999999999999
16201A,PASTEL PINK PHOTO ALBUM,101.0,213.37,9.0,7.0,-3.9,209.47
16201B,PASTEL BLUE PHOTO ALBUM,34.0,81.1,5.0,2.0,0.0,81.1
16202A,PASTEL PINK PHOTO ALBUM ,662.0,290.45,21.0,16.0,-97.80000000000001,192.64999999999998
16202B,PASTEL BLUE PHOTO ALBUM ,1039.0,528.56,22.0,13.0,-144.48000000000002,384.0799999999999
16202C,BEIGE PHOTO ALBUM,97.0,230.59,12.0,10.0,0.0,230.59
16202E,BLACK PHOTO ALBUM ,82.0,162.73,14.0,12.0,-11.1,151.63
16206B,RED PURSE WITH PINK HEART,96.0,116.4,16.0,14.0,0.0,116.4
16207A,PINK STRAWBERRY HANDBAG ,143.0,423.53000000000003,76.0,17.0,0.0,423.53000000000003
16207B,PINK HEART RED HANDBAG,265.0,457.65000000000003,46.0,12.0,0.0,457.65000000000003
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366.0,287.01,37.0,29.0,0.0,287.01
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8.0,5.2,3.0,3.0,0.0,5.2
16216,LETTER SHAPE PENCIL SHARPENER,4158.0,371.64,88.0,69.0,-17.6,354.03999999999996
16218,CARTOON  PENCIL SHARPENERS,4632.0,454.52,98.0,60.0,0.0,454.52
16219,HOUSE SHAPE PENCIL SHARPENER,3358.0,501.25,128.0,58.0,-2.88,498.37
16225,RATTLE SNAKE EGGS,1527.0,1295.18,165.0,90.0,0.0,1295.18
16235,RECYCLED PENCIL WITH RABBIT ERASER,5906.0,1354.5,310.0,124.0,-27.93,1326.57
16236,KITTY PENCIL ERASERS,2666.0,599.31,260.0,108.0,-5.88,593.43
16237,SLEEPING CAT ERASERS,10935.0,2337.0299999999997,580.0,209.0,-19.11,2317.9199999999996
16238,PARTY TIME PENCIL ERASERS,2523.0,579.68,236.0,104.0,0.0,579.68
16239,BALLERINA HEART DECORATION.,347.0,492.17,21.0,13.0,0.0,492.17
16243B,BROWN COZY SQUARE PHOTO ALBUM,212.0,441.77,8.0,1.0,0.0,441.77
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,186.0,479.40999999999997,28.0,6.0,0.0,479.40999999999997
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,345.0,765.02,28.0,8.0,0.0,765.02
16245A,PINK MINI STATIONERY SET W CASE,11.0,13.75,7.0,7.0,0.0,13.75
16248B,BLUE HOLE PUNCH,81.0,101.25,12.0,12.0,0.0,101.25
